monthly_revenue,average_balance,daily_transaction_spikes,shop_type,merchant_category,is_approved
1.5,16000.0,2,20000.0,2,1
3.0,96000.0,2,120000.0,2,1
4.5,72000.0,2,90000.0,2,0
6.0,40000.0,2,50000.0,2,0
7.5,40000.0,1,50000.0,1,0
9.0,40000.0,1,50000.0,1,0
10.5,400000.0,1,500000.0,1,0
12.0,80000.0,2,100000.0,2,0
13.5,112000.0,2,140000.0,2,0
15.0,16000.0,1,20000.0,1,0
16.5,160000.0,2,200000.0,2,0
18.0,208000.0,2,260000.0,2,0
19.5,504000.0,2,630000.0,2,0
21.0,56000.0,1,70000.0,1,1
22.5,200000.0,1,250000.0,1,0
24.0,40000.0,2,50000.0,2,0
25.5,16000.0,1,20000.0,1,1
27.0,256000.0,1,320000.0,1,0
28.5,288000.0,2,360000.0,2,0
30.0,144000.0,2,180000.0,2,0
31.5,104000.0,2,130000.0,2,0
33.0,96000.0,2,120000.0,2,1
34.5,56000.0,2,70000.0,2,1
36.0,360000.0,2,450000.0,2,1
37.5,72000.0,1,90000.0,1,0
39.0,40000.0,1,50000.0,1,0
40.5,48000.0,1,60000.0,1,1
42.0,40000.0,2,50000.0,2,0
43.5,40000.0,2,50000.0,2,0
45.0,40000.0,1,50000.0,1,0
46.5,184000.0,2,230000.0,2,0
48.0,40000.0,1,50000.0,1,1
49.5,80000.0,1,100000.0,1,0
51.0,400000.0,2,500000.0,2,0
52.5,400000.0,1,500000.0,1,0
54.0,128000.0,1,160000.0,1,0
55.5,224000.0,1,280000.0,1,0
57.0,48000.0,2,60000.0,2,0
58.5,40000.0,1,50000.0,1,1
60.0,224000.0,1,280000.0,1,0
61.5,288000.0,1,360000.0,1,0
63.0,56000.0,2,70000.0,2,0
64.5,8000.0,1,10000.0,1,0
66.0,112000.0,2,140000.0,2,0
67.5,32000.0,2,40000.0,2,0
69.0,168000.0,1,210000.0,1,1
70.5,16000.0,2,20000.0,2,1
72.0,120000.0,2,150000.0,2,1
73.5,304000.0,1,380000.0,1,0
75.0,16000.0,1,20000.0,1,0
76.5,56000.0,1,70000.0,1,1
78.0,80000.0,2,100000.0,2,0
79.5,248000.0,2,310000.0,2,0
81.0,144000.0,2,180000.0,2,0
82.5,120000.0,2,150000.0,2,0
84.0,400000.0,2,500000.0,2,0
85.5,144000.0,2,180000.0,2,0
87.0,144000.0,2,180000.0,2,0
88.5,160000.0,2,200000.0,2,0
90.0,320000.0,2,400000.0,2,0
91.5,400000.0,2,500000.0,2,1
93.0,56000.0,1,70000.0,1,0
94.5,40000.0,1,50000.0,1,1
96.0,40000.0,2,50000.0,2,1
97.5,104000.0,2,130000.0,2,0
99.0,160000.0,1,200000.0,1,1
100.5,8000.0,1,10000.0,1,1
102.0,168000.0,2,210000.0,2,0
103.5,104000.0,2,130000.0,2,0
105.0,16000.0,1,20000.0,1,0
106.5,64000.0,1,80000.0,1,0
108.0,256000.0,1,320000.0,1,1
109.5,160000.0,2,200000.0,2,0
111.0,232000.0,2,290000.0,2,0
112.5,272000.0,1,340000.0,1,0
114.0,16000.0,1,20000.0,1,0
115.5,40000.0,1,50000.0,1,0
117.0,240000.0,2,300000.0,2,0
118.5,24000.0,2,30000.0,2,1
120.0,192000.0,2,240000.0,2,1
121.5,376000.0,2,470000.0,2,0
123.0,288000.0,2,360000.0,2,0
124.5,48000.0,1,60000.0,1,1
126.0,320000.0,2,400000.0,2,0
127.5,40000.0,2,50000.0,2,0
129.0,128000.0,1,160000.0,1,0
130.5,288000.0,2,360000.0,2,1
132.0,128000.0,2,160000.0,2,0
133.5,104000.0,2,130000.0,2,0
135.0,16000.0,1,20000.0,1,0
136.5,160000.0,1,200000.0,1,1
138.0,224000.0,2,280000.0,2,0
139.5,80000.0,2,100000.0,2,0
141.0,128000.0,2,160000.0,2,0
142.5,48000.0,2,60000.0,2,0
144.0,72000.0,1,90000.0,1,0
145.5,288000.0,1,360000.0,1,0
147.0,120000.0,1,150000.0,1,0
148.5,40000.0,2,50000.0,2,0
150.0,16000.0,1,20000.0,1,1
151.5,112000.0,1,140000.0,1,0
153.0,304000.0,2,380000.0,2,0
154.5,384000.0,1,480000.0,1,0
156.0,40000.0,2,50000.0,2,1
157.5,48000.0,2,60000.0,2,0
159.0,56000.0,2,70000.0,2,0
160.5,64000.0,2,80000.0,2,0
162.0,280000.0,1,350000.0,1,0
163.5,104000.0,1,130000.0,1,0
165.0,288000.0,1,360000.0,1,0
