merchant_id,daily_transaction_spikes,average_balance,monthly_revenue,shop_type,merchant_category,is_approved
M_001,4.2,16500.0,45000.0,Retail,Electronics,1
M_002,1.8,2400.0,7500.0,Service,Consulting,0
M_003,7.5,45000.0,150000.0,Wholesale,FMCG,1
M_004,2.2,500.0,3000.0,Retail,Grocery,0
M_005,5.1,28000.0,85000.0,Service,Auto,1
M_006,3.0,11000.0,35000.0,Retail,Clothing,1
M_007,1.1,150.0,800.0,Retail,Electronics,0
M_008,6.8,32000.0,112000.0,Wholesale,Electronics,1
M_009,4.4,18000.0,52000.0,Retail,Beauty,1
M_010,8.9,89000.0,220000.0,Wholesale,Hardware,1
M_011,2.5,3500.0,11000.0,Service,Consulting,0
M_012,3.3,12500.0,41000.0,Retail,Food,1
M_013,1.5,1200.0,4500.0,Retail,Beauty,0
M_014,5.8,26000.0,78000.0,Service,Auto,1
M_015,4.7,19000.0,58000.0,Retail,Electronics,1
M_016,2.1,800.0,2500.0,Retail,Clothing,0
M_017,7.2,41000.0,135000.0,Wholesale,FMCG,1
M_018,6.1,29000.0,92000.0,Service,Consulting,1
M_019,3.8,14500.0,48000.0,Retail,Food,1
M_020,1.9,1800.0,6000.0,Retail,Grocery,0
M_021,5.5,23000.0,71000.0,Service,Beauty,1
M_022,4.1,17000.0,49000.0,Retail,Electronics,1
M_023,8.4,75000.0,195000.0,Wholesale,Hardware,1
M_024,2.7,4200.0,13500.0,Retail,Clothing,0
M_025,3.6,13000.0,44000.0,Retail,Food,1
M_026,6.3,31000.0,98000.0,Service,Auto,1
M_027,1.4,950.0,3800.0,Retail,Beauty,0
M_028,7.9,52000.0,160000.0,Wholesale,FMCG,1
M_029,4.5,18500.0,54000.0,Retail,Electronics,1
M_030,2.3,2100.0,6800.0,Service,Consulting,0
M_031,5.2,21500.0,67000.0,Retail,Food,1
M_032,3.9,15000.0,47000.0,Retail,Clothing,1
M_033,8.1,68000.0,185000.0,Wholesale,Hardware,1
M_034,1.7,1500.0,5100.0,Retail,Grocery,0
M_035,6.6,34000.0,105000.0,Service,Auto,1
M_036,4.8,19500.0,61000.0,Retail,Beauty,1
M_037,2.8,4800.0,15000.0,Service,Consulting,1
M_038,7.6,47000.0,148000.0,Wholesale,FMCG,1
M_039,3.4,12200.0,39000.0,Retail,Electronics,1
M_040,1.2,300.0,1200.0,Retail,Clothing,0
M_041,5.9,27000.0,84000.0,Service,Beauty,1
M_042,4.3,16800.0,48500.0,Retail,Food,1
M_043,8.7,82000.0,210000.0,Wholesale,Hardware,1
M_044,2.4,2600.0,8200.0,Retail,Grocery,0
M_045,6.4,32000.0,102000.0,Service,Auto,1
M_046,3.7,13800.0,43000.0,Retail,Electronics,1
M_047,1.8,1700.0,5400.0,Service,Consulting,0
M_048,7.3,44000.0,138000.0,Wholesale,FMCG,1
M_049,5.0,20500.0,65000.0,Retail,Beauty,1
M_050,4.0,15500.0,46000.0,Retail,Clothing,1
M_051,8.3,71000.0,188000.0,Wholesale,Hardware,1
M_052,2.0,1950.0,6500.0,Retail,Food,0
M_053,6.0,28500.0,89000.0,Service,Auto,1
M_054,4.6,18800.0,59000.0,Retail,Electronics,1
M_055,2.6,3800.0,12500.0,Service,Consulting,0
M_056,7.8,49000.0,155000.0,Wholesale,FMCG,1
M_057,3.5,12800.0,40500.0,Retail,Beauty,1
M_058,1.3,700.0,2100.0,Retail,Clothing,0
M_059,5.7,24500.0,76000.0,Service,Beauty,1
M_060,4.9,20000.0,62000.0,Retail,Food,1
M_061,8.6,78000.0,201000.0,Wholesale,Hardware,1
M_062,2.9,5200.0,16500.0,Retail,Electronics,1
M_063,6.7,35500.0,111000.0,Service,Auto,1
M_064,3.2,11500.0,36000.0,Retail,Grocery,1
M_065,1.6,1400.0,4200.0,Service,Consulting,0
M_066,7.4,45500.0,140000.0,Wholesale,FMCG,1
M_067,5.4,22800.0,70000.0,Retail,Beauty,1
M_068,4.2,16200.0,47000.0,Retail,Clothing,1
M_069,8.5,85000.0,215000.0,Wholesale,Hardware,1
M_070,2.2,2500.0,7200.0,Retail,Electronics,0
M_071,6.2,30500.0,95000.0,Service,Auto,1
M_072,3.8,14200.0,45500.0,Retail,Food,1
M_073,1.9,1850.0,5900.0,Service,Consulting,0
M_074,7.1,39000.0,128000.0,Wholesale,FMCG,1
M_075,5.3,22000.0,68000.0,Retail,Beauty,1
M_076,4.5,18200.0,55000.0,Retail,Clothing,1
M_077,8.8,88000.0,225000.0,Wholesale,Hardware,1
M_078,2.4,3200.0,10500.0,Retail,Electronics,0
M_079,6.5,33500.0,106000.0,Service,Auto,1
M_080,3.6,13400.0,42500.0,Retail,Food,1
M_081,1.5,1100.0,3500.0,Service,Consulting,0
M_082,7.7,48500.0,152000.0,Wholesale,FMCG,1
M_083,5.6,23800.0,74000.0,Retail,Beauty,1
M_084,4.7,19200.0,59500.0,Retail,Clothing,1
M_085,8.2,69500.0,183000.0,Wholesale,Hardware,1
M_086,2.7,4500.0,14000.0,Retail,Electronics,1
M_087,6.9,32500.0,114000.0,Service,Auto,1
M_088,3.3,12100.0,38000.0,Retail,Food,1
M_089,1.1,400.0,1500.0,Service,Consulting,0
M_090,7.0,37500.0,122000.0,Wholesale,FMCG,1
M_091,5.1,21200.0,66000.0,Retail,Beauty,1
M_092,4.4,17500.0,53000.0,Retail,Clothing,1
M_093,8.0,65000.0,175000.0,Wholesale,Hardware,1
M_094,2.5,3600.0,11500.0,Retail,Electronics,0
M_095,6.4,31800.0,101000.0,Service,Auto,1
M_096,3.9,14800.0,46500.0,Retail,Food,1
M_097,1.4,900.0,3000.0,Service,Consulting,0
M_098,7.5,46000.0,145000.0,Wholesale,FMCG,1
M_099,5.8,26500.0,81000.0,Retail,Beauty,1
M_100,4.1,16000.0,49500.0,Retail,Clothing,1
